Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.16374815,140.0520556,56.5064888,-0.000553135,0.000183781,0.000390173,0.000701405,0.000582867,0.001138957,-0.01638291,-1.008918047,-0.001257787,0.004073843,-0.001153483,56.75559235,0.004018195,0.006732467,0.817712367,0.575573683,0.895912545,0.067529196,109.718416,-0.000139609,0.002243295,-0.086920425,6,6351, 
36.16374835,140.0520557,56.5064888,-0.006629486,0.000201935,0.001912934,0.006902911,0.006632561,0.001214999,-0.016426902,-1.008606911,-0.001423744,0.003714924,-0.002675595,56.75474167,0.004015714,0.006733306,0.817662835,0.575644076,0.895821712,0.067894086,109.7085552,0.001729593,0.001602545,-0.084481813,6,6354, 
36.16374835,140.0520557,56.5064888,-0.006633929,0.000192336,0.003386826,0.007450946,0.006636717,0.001286016,-0.016161576,-1.008544922,-0.001812186,0.003371026,-0.003458171,56.75388718,0.004013533,0.006733085,0.817611635,0.575716794,0.895651128,0.068163505,109.6983658,-0.000888646,-0.001919873,-0.084969141,6,6357, 
36.16374835,140.0520557,56.71931076,-0.006659023,0.000172796,0.00281978,0.007233505,0.006661264,0.001291452,-0.015740575,-1.008537769,-0.002401517,0.00289014,-0.00351816,56.75375366,0.004011485,0.006731276,0.817559838,0.575790405,0.89534039,0.068316653,109.6880522,-0.005018666,-0.003907926,-0.085016824,6,6360, 
36.16374835,140.0520557,56.71931076,-0.006700947,0.000144049,0.002257487,0.00707246,0.006702495,0.001276994,-0.015312987,-1.008478642,-0.002652836,0.002446713,-0.003032175,56.75362015,0.004009782,0.006727941,0.81750834,0.57586354,0.894909433,0.068336233,109.6778019,-0.008384839,-0.005749382,-0.084547617,6,6363, 
36.16374835,140.0520557,56.71931076,-0.006747054,0.000110467,0.001702415,0.006959394,0.006747959,0.001248757,-0.014949174,-1.008230686,-0.002558229,0.001860073,-0.001538655,56.75349045,0.004009035,0.006723695,0.817458272,0.575934649,0.894456428,0.068203736,109.6678347,-0.009221524,-0.006716482,-0.082236864,6,6366, 
36.16374835,140.0520557,56.71931076,-0.0067766,7.67E-05,0.001163639,0.006876209,0.006777034,0.001188626,-0.014688945,-1.007841587,-0.002078786,0.001582247,0.000219151,56.75336838,0.004009613,0.006719396,0.817410529,0.576002479,0.894086237,0.067940077,109.658327,-0.005909085,-0.006750058,-0.078694917,6,6369, 
36.16374835,140.0520557,56.63149643,-0.00678848,4.44E-05,0.001463826,0.006944654,0.006788625,0.001008047,-0.014500974,-1.007614136,-0.001485461,0.001249283,0.002005823,56.75294495,0.004011618,0.006715736,0.817365348,0.576066673,0.893870401,0.067580845,109.6493284,-0.00237596,-0.006465107,-0.07622204,6,6372, 
36.16374835,140.0520557,56.63149643,-0.006780566,1.06E-05,0.001755044,0.007004025,0.006780574,0.000710716,-0.014620459,-1.007707596,-0.0009157,0.000992837,0.003459188,56.75252533,0.004015091,0.006712824,0.817322493,0.57612747,0.893821819,0.067129815,109.6408009,0.001582652,-0.006760746,-0.076732256,6,6375, 
36.16374835,140.0520557,56.63149643,-0.006745909,-3.52E-05,0.002023053,0.007042817,0.006746001,0.000351757,-0.015116377,-1.008236289,-0.00020761,0.001474354,0.004890065,56.75210571,0.004019279,0.006711363,0.817281663,0.576185346,0.893956813,0.066704509,109.6326811,0.006931379,-0.009152927,-0.082203485,6,6378, 
36.16374835,140.0520557,56.63149643,-0.006680053,-6.86E-05,0.002243724,0.007047135,0.006680405,7.36E-06,-0.015802067,-1.008883834,0.00012241,0.002367025,0.006210483,56.7516861,0.004022834,0.006711938,0.817242742,0.576240361,0.894241021,0.066469693,109.6249567,0.013171345,-0.0066926,-0.087323762,6,6381, 
