Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.16391152,140.0521072,78.16897583,-5.850279808,-1.880960584,0.003400499,6.145225636,6.145224695,-0.0118093,-0.189513221,-0.978911042,0.129887968,-0.022226986,-0.002838842,78.51728058,0.078011788,0.110488385,0.797835112,0.587508023,15.54362097,0.30622089,107.3075848,-0.752017617,-0.410766065,0.12917693,10,180703, 
36.16391126,140.0521071,78.16897583,-5.853706837,-1.883202195,0.007642861,6.149178209,6.14917346,-0.011737716,-0.195474803,-0.970687568,0.119300514,-0.004296615,0.006775595,78.51608276,0.078217909,0.110722631,0.797796071,0.587489545,15.57956647,0.303262022,107.3063212,-0.685397863,-0.448350281,0.257577121,10,180706, 
36.16391099,140.052107,78.16897583,-5.856880665,-1.885201216,0.01241165,6.152819581,6.152807062,-0.00556328,-0.188513815,-0.963399649,0.116932757,0.022762235,-0.0047505,78.51486206,0.078369379,0.110977165,0.797761738,0.587467909,15.61366398,0.306583299,107.306529,-0.634813309,-0.399778724,0.343721896,10,180709, 
36.16391073,140.0521069,78.49565887,-5.860320568,-1.887434125,0.014460089,6.15678275,6.156765769,-0.011210593,-0.182136834,-0.961108863,0.088373348,0.066160589,-0.003038431,78.51472473,0.07842651,0.111253552,0.79773134,0.587449253,15.6433391,0.320002152,107.3081059,-0.687975287,-0.446601629,0.355035812,10,180712, 
36.16391046,140.0521068,78.49565887,-5.863416672,-1.889782667,0.016551267,6.160455141,6.160432907,-0.009689012,-0.184758872,-0.959116757,0.105218023,0.089756474,-0.001478251,78.5145874,0.078408688,0.111567132,0.797711551,0.587419212,15.67135375,0.3425346,107.3127273,-0.619273424,-0.469707012,0.414528459,10,180715, 
36.1639102,140.0521067,78.49565887,-5.866728783,-1.892174482,0.018925995,6.164348228,6.164319174,-0.009407111,-0.182587296,-0.959602177,0.053589091,0.106028631,-0.01412005,78.51443481,0.078324012,0.111876346,0.79769212,0.587397873,15.69438859,0.370990504,107.3173741,-0.662390947,-0.478349328,0.414386272,10,180718, 
36.16390994,140.0521065,78.49565887,-5.869657993,-1.894108415,0.021286404,6.16773741,6.167700677,-0.006903511,-0.193940908,-0.958840489,0.03832436,0.098043352,0.007957943,78.5142746,0.078183278,0.112124041,0.797689915,0.587372601,15.70785448,0.400223067,107.3236538,-0.585906744,-0.386801988,0.345875144,10,180721, 
36.16390963,140.0521065,78.7790451,-5.872402191,-1.895197868,0.020655949,6.170681415,6.170646843,0.003237559,-0.192672327,-0.960436523,0.054693334,0.115106605,-0.021103805,78.51506042,0.078033313,0.112380147,0.797683001,0.587352753,15.7214787,0.43097619,107.3293228,-0.548772454,-0.217887163,0.245303288,10,180724, 
36.16390937,140.0521064,78.7790451,-5.875921726,-1.897097588,0.019594101,6.174610864,6.174579774,-0.006024417,-0.193314329,-0.972566068,0.030625034,0.097794227,-0.024544345,78.51585388,0.077873379,0.112631589,0.797653437,0.587366164,15.73396807,0.462956778,107.3305126,-0.70384264,-0.379967272,0.189295411,10,180727, 
36.1639091,140.0521063,78.7790451,-5.879920959,-1.899166226,0.018321877,6.179048352,6.179021188,-0.007015461,-0.187986508,-0.979437888,0.011417028,0.084557965,-0.018093593,78.51664734,0.077712536,0.112817124,0.797628999,0.587384939,15.7402522,0.490607648,107.3309354,-0.799837589,-0.413713932,0.135725349,10,180730, 
36.16390884,140.0521062,78.7790451,-5.883365154,-1.900864244,0.016849786,6.182843547,6.182820587,-0.008744469,-0.190455511,-0.982961178,-0.045254476,0.073839486,-0.007258061,78.51744843,0.077522315,0.112907745,0.797625661,0.587397218,15.73568178,0.514283216,107.3328146,-0.688863873,-0.339615047,0.001059443,10,180733, 
